Day fraction since midnight on 	200 kPa (Pa)	DO probe (mg/L)	Source Pressure (Pa)	air valve control ()
0.643435494	17394.78125	1.944911242	30519.04102	22054.27216
0.643447058	17316.97461	2.055451393	30519.04102	22114.70431
0.643458634	17340.06055	2.17803669	30519.04102	22084.84731
0.64347022	17446.10156	2.313276291	30519.04102	22130.69926
0.643481769	17313.98047	2.448258638	30519.04102	22010.34616
0.643493372	17357.56641	2.597651243	30479.58203	22012.29936
0.643504942	17330.22852	2.74057579	30479.58203	22087.11353
0.643516514	17364.38672	2.813837528	30479.58203	22078.93804
0.643528086	17305.44336	2.943925858	30479.58203	22078.2568
0.64353966	17354.60547	3.110013485	30479.58203	22132.15169
0.643551237	17322.50195	3.224928379	30445.52148	22081.14055
0.643562812	17386.23438	3.332044363	30445.52148	22056.57803
0.643574382	17472.67383	3.460598946	30445.52148	22225.23667
0.643585944	17416.54883	3.58970356	30445.52148	22219.27456
0.643597541	17403.71094	3.716253996	30445.52148	22176.0278
0.643609095	17388.36328	3.863235474	30424.7168	22085.17251
0.643620679	17326.79102	3.965724468	30424.7168	22070.43253
0.643632251	17305.44336	4.089725018	30424.7168	22115.95792
0.643643817	17290.48047	4.16042614	30424.7168	22120.77697
0.643655401	17276.70117	4.373095512	30424.7168	22082.51065
0.643666977	17303.68164	4.476611614	30389.9668	22129.81233
0.643678552	17286.57617	4.598575115	30389.9668	22098.32001
0.643690133	17337.04297	4.709280491	30389.9668	22144.82524
0.643701692	17349.0332	4.789124966	30389.9668	22192.43829
0.643713285	17292.97461	4.888435841	30389.9668	22038.07216
0.643724853	17221.30469	4.987232208	30356.54297	22093.01736
0.643736422	17296.42969	5.116196156	30356.54297	22176.81102
0.643747992	17215.16797	5.224876881	30356.54297	22098.55102
0.643759571	17196.72461	5.355212688	30356.54297	22082.35517
0.643771149	17285.26563	5.441528797	30356.54297	22070.03988
0.643782713	17182.8457	5.492610455	30305.72461	22089.90257
0.643794294	17156.06836	5.630090237	30305.72461	22076.62166
0.643805878	17151.80664	5.751541138	30305.72461	22042.45462
0.643817448	17140.32813	5.80069828	30305.72461	22020.0408
0.643829008	17121.84375	5.911669731	30305.72461	22033.52497
0.6438406	17137.23828	5.947340012	30167.10352	22270.87455
0.643852151	17090.39063	6.03924942	30167.10352	22193.73222
0.64386373	17123.98438	6.102348805	30167.10352	22151.53787
0.64387531	17042.69141	6.162928104	30167.10352	22067.52347
0.643886881	17029.8125	6.258560181	30167.10352	22118.65104
0.643898451	16975.66602	6.322209358	30062.91797	22135.88204
0.643910016	16927.94531	6.412994862	30062.91797	22109.68235
0.643921599	17043.35742	6.482281685	30062.91797	22142.76279
0.643933183	16946.47266	6.574347496	30062.91797	22144.98229
