wavelength,0,1,2,3,4,5,unknown
494,0.0003,0.0069,0.0221,0.0203,0.006,0.0582,0.4361
496,0.0003,0.0067,0.0221,0.0208,0.0069,0.059,0.4364
498,0.0003,0.007,0.0224,0.021,0.0067,0.0594,0.4344
500,0.0003,0.0072,0.0228,0.0212,0.007,0.06,0.4353
502,0.0003,0.0073,0.0228,0.0213,0.0073,0.0606,0.4365
504,0.0003,0.0075,0.023,0.0216,0.0074,0.0607,0.4349
506,0.0003,0.0074,0.0228,0.0214,0.008,0.0607,0.4371
508,0.0003,0.0073,0.0226,0.0214,0.0083,0.0604,0.4368
510,0.0003,0.0073,0.0227,0.0215,0.0084,0.0606,0.4361
512,0.0002,0.0073,0.0229,0.0215,0.0081,0.061,0.4366
514,0.0003,0.0076,0.0226,0.0214,0.0089,0.0611,0.4376
516,0.0002,0.0075,0.0227,0.022,0.0096,0.0614,0.4374
518,0.0003,0.0077,0.0231,0.0223,0.0098,0.0623,0.4362
520,0.0003,0.008,0.0235,0.0225,0.0101,0.063,0.4374
522,0.0003,0.008,0.0236,0.0232,0.0117,0.064,0.4386
524,0.0002,0.0083,0.0238,0.0239,0.0128,0.0653,0.439
526,0.0004,0.0086,0.0245,0.0247,0.0142,0.067,0.4382
528,0.0002,0.009,0.025,0.026,0.0157,0.0691,0.438
530,0.0003,0.0092,0.0259,0.0269,0.0166,0.0713,0.4395
532,0.0002,0.0097,0.0262,0.0284,0.0195,0.0735,0.4393
534,0.0003,0.0103,0.0278,0.0303,0.0215,0.077,0.4404
536,0.0003,0.0112,0.0288,0.0316,0.0229,0.0804,0.442
538,0.0001,0.0114,0.0296,0.0341,0.0275,0.0834,0.4426
540,0.0003,0.0123,0.031,0.0358,0.0295,0.0879,0.4437
542,0.0003,0.013,0.0322,0.0385,0.0333,0.0921,0.4448
544,0.0003,0.0139,0.0335,0.041,0.0372,0.0967,0.4458
546,0.0003,0.0152,0.0356,0.0441,0.041,0.1025,0.4462
548,0.0002,0.016,0.0371,0.0471,0.0458,0.108,0.4503
550,0.0002,0.0172,0.0393,0.0509,0.0508,0.1143,0.4506
552,0.0003,0.0185,0.0413,0.0547,0.0569,0.121,0.4525
554,0.0002,0.0197,0.0435,0.058,0.0609,0.1277,0.4516
556,0.0003,0.0211,0.0458,0.0622,0.0668,0.135,0.4547
558,0.0003,0.0225,0.0484,0.0664,0.0727,0.1426,0.4569
560,0.0003,0.0238,0.0504,0.0712,0.0801,0.1503,0.4585
562,0.0004,0.0257,0.0535,0.0754,0.085,0.1589,0.4591
564,0.0002,0.0275,0.0565,0.0813,0.0937,0.1686,0.46
566,0.0001,0.0292,0.0599,0.0869,0.1011,0.1787,0.4605
568,0.0002,0.0305,0.0621,0.0916,0.1077,0.1868,0.4616
570,0.0003,0.0322,0.0651,0.0965,0.114,0.196,0.4724
572,0.0004,0.0345,0.0692,0.1021,0.1203,0.207,0.4878
574,0.0003,0.037,0.0726,0.1091,0.1305,0.2187,0.5105
576,0.0004,0.0401,0.0772,0.1167,0.1396,0.2323,0.5557
578,0.0004,0.0426,0.0815,0.1233,0.1491,0.2447,0.6192
580,0.0004,0.0453,0.0859,0.1326,0.1625,0.2612,0.6799
582,0.0004,0.048,0.0922,0.1392,0.1696,0.277,0.7314
584,0.0004,0.0517,0.0959,0.1523,0.1918,0.2954,0.6647
586,0.0003,0.0549,0.1033,0.161,0.2007,0.3142,0.5774
588,0.0003,0.0577,0.1089,0.172,0.2183,0.3338,0.5293
590,0.0004,0.0615,0.1155,0.1848,0.2374,0.3562,0.5131
592,0.0002,0.0655,0.1219,0.1998,0.2602,0.3814,0.5093
594,0.0003,0.0698,0.1301,0.2107,0.2732,0.404,0.5164
596,0.0003,0.0743,0.1378,0.2241,0.2928,0.4285,0.521
598,0.0003,0.079,0.1454,0.2404,0.3169,0.4566,0.5278
600,0.0003,0.0834,0.1532,0.2533,0.3347,0.4806,0.5331
602,0.0003,0.0879,0.1609,0.2671,0.3539,0.5055,0.5356
604,0.0004,0.0922,0.1686,0.2791,0.3702,0.5273,0.543
606,0.0004,0.0957,0.1777,0.291,0.3804,0.5497,0.5212
608,0.0002,0.1001,0.1824,0.297,0.397,0.5604,0.5516
610,0.0002,0.102,0.1836,0.3091,0.412,0.5746,0.5593
612,0.0002,0.1044,0.1885,0.3137,0.4164,0.5828,0.5519
614,0.0003,0.1063,0.1914,0.3179,0.4218,0.5884,0.5525
616,0.0002,0.1076,0.1936,0.3201,0.4228,0.5905,0.5559
618,0.0003,0.1089,0.1953,0.3221,0.4253,0.5906,0.5562
620,0.0004,0.1102,0.1968,0.3237,0.4271,0.5913,0.5552
622,0.0003,0.1111,0.1978,0.3266,0.4308,0.5919,0.5544
624,0.0002,0.113,0.201,0.3291,0.4315,0.5951,0.5555
626,0.0003,0.115,0.2041,0.3333,0.4357,0.5988,0.5585
628,0.0004,0.1177,0.2084,0.3391,0.442,0.6065,0.5583
630,0.0003,0.1207,0.2137,0.3463,0.4513,0.6176,0.5602
632,0.0004,0.1248,0.2199,0.3564,0.4637,0.6315,0.5657
634,0.0004,0.1293,0.2269,0.3685,0.48,0.6505,0.5674
636,0.0001,0.1344,0.2353,0.3837,0.5003,0.6725,0.5698
638,0.0003,0.1405,0.2457,0.3999,0.5197,0.6982,0.5785
640,0.0001,0.1472,0.2561,0.416,0.5421,0.7258,0.5847
642,0.0003,0.1545,0.2685,0.436,0.5681,0.7554,0.5862
644,0.0004,0.1624,0.2815,0.4581,0.5958,0.7903,0.5962
646,0.0004,0.1708,0.2942,0.4801,0.6261,0.8252,0.6056
648,0.0003,0.1785,0.3075,0.5055,0.6622,0.8658,0.5996
650,0.0003,0.1863,0.3213,0.5234,0.6821,0.8971,0.6263
652,0.0001,0.195,0.3319,0.5505,0.725,0.9359,0.6279
654,-0.0001,0.2029,0.3407,0.5707,0.7623,0.9673,0.6736
656,0.0006,0.2001,0.348,0.5763,0.7728,0.9838,1.1671
658,0.0003,0.2065,0.3534,0.5867,0.7706,0.9953,0.5574
660,0.0005,0.2116,0.3686,0.5812,0.756,0.9999,0.6007
662,0.0004,0.2132,0.3676,0.5973,0.7748,1.0165,0.6252
664,0.0001,0.2155,0.3693,0.6055,0.7887,1.0255,0.6285
666,0.0003,0.2143,0.3682,0.6009,0.7818,1.0189,0.6247
668,0.0003,0.21,0.3599,0.5903,0.7682,0.997,0.6419
670,0.0001,0.2025,0.3475,0.5689,0.743,0.9643,0.6107
672,0.0002,0.1923,0.3295,0.5419,0.7075,0.9207,0.6182
674,0.0005,0.1784,0.3065,0.4987,0.6489,0.85,0.6235
676,0.0001,0.1598,0.2756,0.4489,0.5839,0.7672,0.5873
678,0.0001,0.1408,0.2433,0.3961,0.5147,0.6802,0.5768
680,0.0002,0.1234,0.2149,0.3458,0.4456,0.6001,0.5754
682,0.0004,0.1059,0.185,0.2954,0.378,0.5148,0.542
684,0.0001,0.0854,0.1497,0.2415,0.3103,0.423,0.5216
686,0.0003,0.0738,0.1323,0.2048,0.2566,0.367,0.5188
688,0.0002,0.0612,0.1105,0.1682,0.2081,0.3052,0.5043
690,0.0003,0.0485,0.0883,0.134,0.1648,0.2473,0.4793
692,0.0002,0.0394,0.074,0.1085,0.1293,0.2059,0.4569
694,0.0003,0.0327,0.0628,0.0877,0.1011,0.1724,0.452
696,0.0002,0.0258,0.0501,0.0699,0.0795,0.1406,0.4663
698,0.0004,0.0223,0.0456,0.0574,0.0585,0.1222,0.4457
700,0.0003,0.0183,0.0387,0.0466,0.0447,0.1036,0.4324
702,0.0001,0.0141,0.0306,0.0369,0.0345,0.0855,0.4334
704,0.0003,0.0123,0.0287,0.0299,0.0232,0.0753,0.4215
706,-0.0001,0.0087,0.0198,0.024,0.0226,0.0596,0.4519
708,0.0003,0.0088,0.0232,0.0197,0.0082,0.0584,0.4283
710,0.0002,0.0072,0.019,0.0164,0.0066,0.0508,0.4415
712,0.0001,0.0066,0.0178,0.0135,0.0021,0.0459,0.4327
714,0.0002,0.0055,0.0162,0.0117,-0.0006,0.0421,0.4304
716,0.0004,0.0056,0.0177,0.0089,-0.0069,0.0404,0.4122
718,0,0.004,0.0128,0.0083,-0.0027,0.0344,0.4319
720,0.0004,0.0041,0.0146,0.0062,-0.0087,0.0336,0.4076
722,0.0004,0.0038,0.0142,0.0057,-0.0106,0.0325,0.4103
724,0.0002,0.0034,0.0122,0.005,-0.0085,0.0296,0.4199
726,0.0001,0.003,0.0121,0.0043,-0.0107,0.0289,0.4181
728,0.0002,0.0029,0.0119,0.0036,-0.012,0.0277,0.417
730,0.0003,0.003,0.011,0.0035,-0.0114,0.0263,0.4272
732,0.0003,0.003,0.0123,0.0022,-0.0151,0.0259,0.4152
734,0.0003,0.0027,0.011,0.003,-0.0132,0.0257,0.426
736,0.0003,0.0031,0.0119,0.0018,-0.016,0.0253,0.4182
738,0.0003,0.0029,0.0116,0.0007,-0.0162,0.023,0.4098
740,0.0003,0.0027,0.0123,0.0017,-0.0173,0.0248,0.4154
742,0.0002,0.0028,0.0111,0.0009,-0.0165,0.0225,0.4194
744,0.0004,0.0031,0.0117,0.0004,-0.0172,0.0226,0.4132
746,0.0002,0.0027,0.01,0.001,-0.0148,0.021,0.4182
748,0.0003,0.0026,0.0107,0.001,-0.0163,0.0217,0.4148
750,0.0001,0.0022,0.0096,0.0016,-0.0147,0.0216,0.4265
752,0.0002,0.0029,0.0118,-0.0001,-0.0203,0.022,0.4029
754,0.0001,0.0024,0.0106,0.001,-0.0176,0.0217,0.4139
756,0.0002,0.0022,0.0092,0.0005,-0.0157,0.0196,0.4161
758,0.0004,0.0024,0.0113,0.0003,-0.0191,0.0214,0.4064
760,0.0001,0.0022,0.0104,-0.0005,-0.0192,0.0198,0.4027
762,0.0004,0.0027,0.0123,-0.0018,-0.0221,0.0197,0.3864
764,0.0001,0.0021,0.0083,0.0008,-0.0137,0.0186,0.4288
766,0.0005,0.0028,0.0138,-0.0012,-0.0246,0.0219,0.3892
768,0,0.0024,0.0076,0.0002,-0.0127,0.0174,0.446
770,0.0002,0.0024,0.01,-0.0003,-0.0169,0.0182,0.4109
772,0.0003,0.0026,0.0112,-0.001,-0.021,0.0186,0.3928
774,0.0005,0.0027,0.0117,-0.0014,-0.0221,0.0192,0.3893
776,0.0004,0.0026,0.011,-0.0019,-0.0205,0.0177,0.3952
778,0.0003,0.0021,0.0078,-0.0001,-0.013,0.0158,0.4245
780,0.0002,0.0022,0.0094,0,-0.0174,0.018,0.4125
782,0.0001,0.0022,0.0099,-0.0001,-0.0192,0.0187,0.4174
784,0.0003,0.0027,0.0115,-0.0021,-0.0239,0.0185,0.3965
786,0.0004,0.0026,0.0109,-0.0016,-0.0211,0.0181,0.4062
788,0.0001,0.0022,0.0092,-0.0014,-0.0178,0.0167,0.4122
790,0.0003,0.0026,0.0115,-0.0019,-0.0215,0.0175,0.3832
792,0.0002,0.0023,0.0104,-0.0013,-0.0205,0.018,0.3985
